"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Shareef D.K.; Abdulla S.; Prasad P.M.; Ajay P.; Lakshmanudu M.","Shareef, D.K. (58527415600); Abdulla, Shaik (60601939600); Prasad, Pulagari Maruthi (60602048700); Ajay, Paseddula (60601936900); Lakshmanudu, M. (60602701100)","58527415600; 60601939600; 60602048700; 60601936900; 60602701100","An Intelligent Blockchain IoT Driven Supply Chain Finance Framework with Real-Time Inventory Analytics and Predictive Decision Support","2026","Proceedings of 8th International Conference on Intelligent Sustainable Systems, ICISS 2026","","","","1286","1293","0","10.1109/ICISS67859.2026.11453973","https://www.scopus.com/pages/publications/105036951413?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036951413"
"Li J.; Huang H.; Gong Y.; Wang L.; Yin X.; Liu Y.","Li, Jinjin (57223712245); Huang, Huijun (60263390300); Gong, Yuping (60263467100); Wang, Lei (60263507400); Yin, Xiangui (60263467200); Liu, Yichang (60015023100)","57223712245; 60263390300; 60263467100; 60263507400; 60263467200; 60015023100","A Review of Artificial Intelligence in Inventory Management: Methods, Applications and Directions","2025","International Journal of Advanced Computer Science and Applications","16","10","","915","928","0","10.14569/IJACSA.2025.0161090","https://www.scopus.com/pages/publications/105026334591?origin=resultslist","Article","Final","","Scopus","2-s2.0-105026334591"
"Sophia V.; Siham J.","Sophia, Vandapuye (58958968800); Siham, Jabraoui (57221962019)","58958968800; 57221962019","Artificial Intelligence and the Supply Chain: An AHP Approach to Select the Best AI Tools","2025","International Conference on Logistics, LOGISTIQUA","","2025","","","","1","10.1109/LOGISTIQUA66323.2025.11122796","https://www.scopus.com/pages/publications/105030541761?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105030541761"
"Mohanty S.N.; Nanjundan P.; Kar T.","Mohanty, Sachi Nandan (36170793300); Nanjundan, Preethi (57220784492); Kar, Tejaswini (57189231239)","36170793300; 57220784492; 57189231239","Artificial Intelligence in Forecasting: Tools and Techniques","2024","Artificial Intelligence in Forecasting: Tools and Techniques","","","","1","356","1","10.1201/9781003399292","https://www.scopus.com/pages/publications/85195926047?origin=resultslist","Book","Final","","Scopus","2-s2.0-85195926047"
"Sekti B.A.","Sekti, Binastya Anggara (58083831000)","58083831000","Machine learning and artificial intelligence (AI) in manufacturing","2025","Integrating Digital Innovation and Integrated Frameworks in Manufacturing","","","","255","292","21","10.4018/979-8-3373-1082-4.ch011","https://www.scopus.com/pages/publications/105012172161?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105012172161"
"Barala S.; Manimaran A.; Natarajan A.K.","Barala, Sourabh (59787263900); Manimaran, A. (57950691900); Natarajan, Arul Kumar (55602548600)","59787263900; 57950691900; 55602548600","Optimizing supply chain with AI-powered BI systems","2024","AI-Powered Business Intelligence for Modern Organizations","","","","159","180","0","10.4018/979-8-3693-8844-0.ch007","https://www.scopus.com/pages/publications/105004527283?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105004527283"
"Kalisetty S.; Saradhi K.S.","Kalisetty, Srinivas (60642533400); Saradhi, Kanthety Sundeep (60389525100)","60642533400; 60389525100","Revolutionizing Retail Operations: Srinivas's AI-Driven Approach to Demand Forecasting and Seamless Supply Chain Management","2024","Utilitas Mathematica","121","","","489","500","0","","https://www.scopus.com/pages/publications/105016104085?origin=resultslist","Article","Final","","Scopus","2-s2.0-105016104085"
"Straka M.; Kleinová K.","Straka, Martin (36775833200); Kleinová, Kristína (59305486200)","36775833200; 59305486200","Deep Learning-Enhanced Proactive Strategy: LSTM and VRP/ACO for Autonomous Replenishment and Demand Forecasting in Shared Logistics","2026","Applied Sciences (Switzerland)","16","6","2838","","","0","10.3390/app16062838","https://www.scopus.com/pages/publications/105033857182?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033857182"
"Koshy N.S.","Koshy, Nicy Susan (59516097300)","59516097300","A Study on Supply Chain Management of LNG Using Artificial Intelligence","2024","Society of Petroleum Engineers - ADIPEC 2024","","","","","","0","10.2118/222919-MS","https://www.scopus.com/pages/publications/85215114685?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85215114685"
"Trushkina N.; Relawati R.; Harmash O.; Prokopyshyn O.; Chernukh D.; Shkrygun Y.","Trushkina, Nataliia (57210808778); Relawati, Rahayu (57203370124); Harmash, Oleh (58891522700); Prokopyshyn, Oksana (57929185900); Chernukh, Diana (60648498700); Shkrygun, Yuliya (58775341000)","57210808778; 57203370124; 58891522700; 57929185900; 60648498700; 58775341000","Artificial Intelligence and Logistics Management in the Agricultural Sector: Bibliometric Analysis and Conceptual Model","2025","Proceedings of International Conference on Applied Innovation in IT","13","5","","827","839","0","","https://www.scopus.com/pages/publications/105039978318?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105039978318"
"Laldin Ismaeil M.K.; Lalla A.F.","Laldin Ismaeil, Mohamed Kama (59384628700); Lalla, Adam Fad (59323410400)","59384628700; 59323410400","The Role and Impact of Artificial Intelligence on Supply Chain Management: Efficiency, Challenges, and Strategic Implementation","2024","Journal of Ecohumanism","3","4","","89","106","28","10.62754/joe.v3i4.3461","https://www.scopus.com/pages/publications/85203719872?origin=resultslist","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85203719872"
"Tundys B.; Grzybowska K.","Tundys, Blanka (56158452500); Grzybowska, Katarzyna (16177250800)","56158452500; 16177250800","Adoption of Artificial Intelligence in Supply Chains: A Business Perspective","2026","Lecture Notes in Networks and Systems","1643 LNNS","","","3","14","0","10.1007/978-3-032-06611-4_1","https://www.scopus.com/pages/publications/105020022944?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020022944"
"Sathish T.; Akhil; Arunachalam S.J.","Sathish, T. (56736457800); Akhil (60045601800); Arunachalam, S. Jothi (59151132200)","56736457800; 60045601800; 59151132200","Comparing demand forecast by supply chain network optimization model (SCNOM) with the regression model for improving efficiency in meeting demands","2025","AIP Conference Proceedings","3300","1","020255","","","0","10.1063/5.0277188","https://www.scopus.com/pages/publications/105013192139?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105013192139"
"Zhao Y.; Zhang M.; Mujumdar A.S.; Adhikari B.; Rui L.","Zhao, Yonggan (57211015280); Zhang, Min (36047275100); Mujumdar, Arun S. (57195520301); Adhikari, Benu (7006252058); Rui, Luming (58980732600)","57211015280; 36047275100; 57195520301; 7006252058; 58980732600","AI-based low-altitude delivery fresh food supply Chain: Research progress and trends","2025","Trends in Food Science and Technology","161","","105056","","","11","10.1016/j.tifs.2025.105056","https://www.scopus.com/pages/publications/105003822197?origin=resultslist","Review","Final","","Scopus","2-s2.0-105003822197"
"Al Awadh M.; Karthick K.K.; Ramachandran K.K.","Al Awadh, Mohammed (59454684600); Karthick, K.K. (55346090000); Ramachandran, K.K. (55345232700)","59454684600; 55346090000; 55345232700","Cognitive Computing in E-Commerce Enhancing Supply Chain Management","2024","Proceedings of International Conference on Contemporary Computing and Informatics, IC3I 2024","","","","1643","1648","1","10.1109/IC3I61595.2024.10828662","https://www.scopus.com/pages/publications/85217405416?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85217405416"
"Kavitha R.K.; Jaisingh W.; Kaarthiekheyan V.; Jalaja Jayalakshmi V.; Sathyavathi S.","Kavitha, R.K. (56694327500); Jaisingh, W. (55790917300); Kaarthiekheyan, V. (58654206400); Jalaja Jayalakshmi, V. (60521668000); Sathyavathi, S. (57205561000)","56694327500; 55790917300; 58654206400; 60521668000; 57205561000","Artificial Intelligence and Machine Learning for Supply Chain Management Operations","2026","Industry 6.0 and Digital Transformation in Supply Chain, Assets, and Services","","","","33","63","0","10.4018/979-8-3373-9554-8.ch002","https://www.scopus.com/pages/publications/105033815427?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105033815427"
"Mirbagheri S.","Mirbagheri, Sharareh (58847536000)","58847536000","Leveraging Data Warehousing and Decision Support Systems for Effective Supply Chain Management","2023","Proceedings - 2023 IEEE 8th International Conference on Smart Cloud, SmartCloud 2023","","","","111","115","4","10.1109/SmartCloud58862.2023.00028","https://www.scopus.com/pages/publications/85183317929?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85183317929"
"","","","International Conference on Modelling Strategies in Mathematics, ICMSM 2024","2025","AIP Conference Proceedings","3306","1","","","","0","","https://www.scopus.com/pages/publications/105008868497?origin=resultslist","Conference review","Final","","Scopus","2-s2.0-105008868497"
"Muloor K.H.; Shankar Iyer L.; Saseekala M.; Manu K.S.","Muloor, Kiran Hemanthaj (58393620000); Shankar Iyer, Lakshmi (60328712200); Saseekala, M. (57201290889); Manu, K.S. (57218762959)","58393620000; 60328712200; 57201290889; 57218762959","The role of IoT in optimizing quick commerce operations: a comprehensive analysis of micro-fulfillment centers and consumer satisfaction","2025","IoT Security: Fundamentals and Key Enabling Technologies","","","","473","487","1","10.1016/B978-0-443-34125-0.00014-3","https://www.scopus.com/pages/publications/105026989292?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105026989292"
"Kudrenko I.","Kudrenko, Ivan (58846928700)","58846928700","Navigating the Future: AI-Driven Healthcare Supply Chains","2024","Integrated Science","27","","","553","570","4","10.1007/978-3-031-70292-1_26","https://www.scopus.com/pages/publications/85219635028?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85219635028"
"Zhai C.; Xiang F.; Liu Y.; Xu H.; Zhou L.; Zhang X.","Zhai, ChengGong (57202983026); Xiang, Fei (58999631500); Liu, YiWei (57226325111); Xu, HongSi (57218501730); Zhou, LiYong (57222614144); Zhang, Xing (57210291320)","57202983026; 58999631500; 57226325111; 57218501730; 57222614144; 57210291320","Research on the Application of Artificial Intelligence Technology in Material Support","2023","ACM International Conference Proceeding Series","","","","15","18","0","10.1145/3640771.3640776","https://www.scopus.com/pages/publications/85191146291?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-85191146291"
"Jasiński P.","Jasiński, Piotr (60645376900)","60645376900","The demand planning renaissance: A data-driven approach","2024","Journal of Supply Chain Management, Logistics and Procurement","7","1","","6","27","1","10.69554/XMOB6236","https://www.scopus.com/pages/publications/105039747514?origin=resultslist","Article","Final","","Scopus","2-s2.0-105039747514"
"Fu W.; Chien C.-F.","Fu, Wenhan (57193426714); Chien, Chen-Fu (57219656467)","57193426714; 57219656467","UNISON data-driven intermittent demand forecast framework to empower supply chain resilience and an empirical study in electronics distribution","2019","Computers and Industrial Engineering","135","","","940","949","118","10.1016/j.cie.2019.07.002","https://www.scopus.com/pages/publications/85068408420?origin=resultslist","Article","Final","","Scopus","2-s2.0-85068408420"
"Akour I.; Abukhait R.; Alzoubi H.M.; Farzaneh F.; Yanamandra R.; Al-Ateyat H.","Akour, Iman (6504754448); Abukhait, Rawan (57211803315); Alzoubi, Haitham M. (57195353015); Farzaneh, Farnoosh (60656569200); Yanamandra, Ramakrishna (57190610275); Al-Ateyat, Heba (60655954800)","6504754448; 57211803315; 57195353015; 60656569200; 57190610275; 60655954800","Demand Forecasting in Supply Chains Using AI","2025","2025 International Conference on Business Intelligence for Technology Innovation, ICBITI 2025","","","","","","0","10.1109/ICBITI65527.2025.11500782","https://www.scopus.com/pages/publications/105040585870?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040585870"
"Shruthi M.; Prabhu S.; Pai P.Y.; Bhandage V.","Shruthi, M. (59942186100); Prabhu, Srikanth (57197645702); Pai, P. Yogesh (60346284700); Bhandage, Venkatesh (57202333193)","59942186100; 57197645702; 60346284700; 57202333193","Harnessing Technological Solutions to Address Growing Demand for Healthcare Services: A Review","2026","Lecture Notes in Networks and Systems","1488 LNNS","","","321","332","0","10.1007/978-981-96-8309-3_22","https://www.scopus.com/pages/publications/105028323158?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105028323158"
"Alakaş H.M.; Eren T.","Alakaş, Hacı Mehmet (59198038300); Eren, Tamer (6602578670)","59198038300; 6602578670","Using Artificial Intelligence in Health and Medical Supply Chains","2023","Accounting, Finance, Sustainability, Governance and Fraud","","","","63","78","0","10.1007/978-981-99-1818-8_6","https://www.scopus.com/pages/publications/85156102923?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85156102923"
"Vhatkar M.S.; Raut R.D.; Gokhale R.; Kumar M.; Das S.; Akarte M.","Vhatkar, Manjunath S. (58872654300); Raut, Rakesh D. (42262603800); Gokhale, Ravindra (37063186000); Kumar, Mukesh (55960498600); Das, Sananda (60018961500); Akarte, Milind (6506739908)","58872654300; 42262603800; 37063186000; 55960498600; 60018961500; 6506739908","Application of the integrated multi-criteria decision making approach to identify key factors influencing the Q-commerce service in retail","2026","Electronic Commerce Research and Applications","78","","101611","","","0","10.1016/j.elerap.2026.101611","https://www.scopus.com/pages/publications/105040614690?origin=resultslist","Article","Final","","Scopus","2-s2.0-105040614690"
"Ranabhatt N.; Barreto S.; Pimpão M.; Prates P.","Ranabhatt, Nehalben (60148728600); Barreto, Sérgio (15755283300); Pimpão, Marco (60258326100); Prates, Pedro (36859545700)","60148728600; 15755283300; 60258326100; 36859545700","Demand Forecasting in the Automotive Industry: A Systematic Literature Review","2025","Forecasting","7","4","73","","","1","10.3390/forecast7040073","https://www.scopus.com/pages/publications/105025885831?origin=resultslist","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105025885831"
"Krishnan R.; Sandhiya P.; Marwah S.","Krishnan, Ravishankar (58882152600); Sandhiya, P. (59968584400); Marwah, Sanjiv (57211549684)","58882152600; 59968584400; 57211549684","Reskilling Supply Chain Workforce for AI-Driven Service Marketing to Enhance Efficiency and Customer Engagement","2025","Strategic Workforce Reskilling in Service Marketing","","","","177","198","1","10.4018/979-8-3373-0164-8.ch009","https://www.scopus.com/pages/publications/105009397790?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105009397790"
"Katal A., Dr.","Katal, Avita (55233742600)","55233742600","Data Analytics and Cloud Together: A Powerful Combination for E-Commerce and Supply Chain Logistics","2025","Data Analytics using Machine Learning Techniques on Cloud Platforms","","","","102","122","2","10.1201/9781003396772-9","https://www.scopus.com/pages/publications/105016285338?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105016285338"
"Arora M.; Nain A.; Agarwal H.; Kaparwan R.; Kumar P.; Ahmad V.","Arora, Madhu (57216741295); Nain, Arvind (59702820600); Agarwal, Himani (60588855200); Kaparwan, Ruchitra (59762113500); Kumar, Piyush (57715648100); Ahmad, Vasim (58246309600)","57216741295; 59702820600; 60588855200; 59762113500; 57715648100; 58246309600","AI-Driven Models for Inventory Optimization in Smart Factories","2025","Proceedings of the 2025 3rd International Conference on Advances in Computation, Communication and Information Technology, ICAICCIT 2025","","","","908","914","0","10.1109/ICAICCIT68829.2025.11434309","https://www.scopus.com/pages/publications/105036197932?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105036197932"
"Guetibi S.","Guetibi, Sabrina (57201616278)","57201616278","Integrating Artificial Intelligence with Information Systems in Healthcare Supply Chain Management","2024","Studies in Computational Intelligence","1166","","","367","374","0","10.1007/978-3-031-65038-3_29","https://www.scopus.com/pages/publications/85206650017?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-85206650017"
"Pham H.B.; Bris P.","Pham, Hoang Bao (60284817400); Bris, Petr (57195718741)","60284817400; 57195718741","AI in Supply Chain: Techniques, Applications, Real-World Cases and Benefits under SCOR Framework","2025","Operations and Supply Chain Management","18","2","","300","317","1","10.31387/oscm0610474","https://www.scopus.com/pages/publications/105026732933?origin=resultslist","Article","Final","","Scopus","2-s2.0-105026732933"
"Singla L.; Lad M.","Singla, Lukesh (60107178700); Lad, Manthan (60136024400)","60107178700; 60136024400","AI-Powered Demand-Supply Matching: Enhancing Forecast Accuracy and Production Planning","2026","7th International Conference on Mobile Computing and Sustainable Informatics, ICMCSI 2026","","","","991","997","0","10.1109/ICMCSI67283.2026.11412650","https://www.scopus.com/pages/publications/105034833511?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034833511"
"Xu M.; Liao H.; Pang N.; Su W.; Lin D.","Xu, Maolin (60002191500); Liao, Heng (60002932000); Pang, Ning (60277948400); Su, Weiping (60277342300); Lin, Dongming (60098863600)","60002191500; 60002932000; 60277948400; 60277342300; 60098863600","Research on the application and optimization of modern digital supply chains in the power grid material fulfillment supply chain","2025","Proceedings of SPIE - The International Society for Optical Engineering","13972","","139721R","","","0","10.1117/12.3094328","https://www.scopus.com/pages/publications/105026568558?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105026568558"
"Alqudah M.K.; Alzoubi H.M.; Alzghoul A.M.; Samarah M.","Alqudah, Musab Kasim (56519753700); Alzoubi, Haitham M. (57195353015); Alzghoul, Ahmad Mohammad (57196007465); Samarah, Miral (57218875914)","56519753700; 57195353015; 57196007465; 57218875914","AI-Driven Inventory Optimization in Supply Chains","2025","2025 International Conference on Business Intelligence for Technology Innovation, ICBITI 2025","","","","","","0","10.1109/ICBITI65527.2025.11500904","https://www.scopus.com/pages/publications/105040557850?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040557850"
"Vijayvargiya S.; Sinha S.; Sivakumar V.","Vijayvargiya, Saniya (60102035500); Sinha, Srishti (60100996900); Sivakumar, Venu (57355014300)","60102035500; 60100996900; 57355014300","The Role of AI and ML in Shaping the Future of the Food Industry","2025","Current Nutrition and Food Science","21","10","","1021","1029","0","10.2174/0115734013371588250815061734","https://www.scopus.com/pages/publications/105016152346?origin=resultslist","Review","Final","","Scopus","2-s2.0-105016152346"
"Ding J.; Li Z.; Lee E.-S.","Ding, Jiangmin (59184698600); Li, Zhaoqi (59237071000); Lee, Eon-Seong (55177924000)","59184698600; 59237071000; 55177924000","Seeing the Unseen: AI Assimilation and Supply–Demand Visibility for Effective Risk Management in Manufacturing Supply Chains","2026","Systems","14","3","300","","","0","10.3390/systems14030300","https://www.scopus.com/pages/publications/105033878843?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033878843"
"Cochachin-Maguiña M.I.; Lopez-Santacruz J.A.; Coaquira-Torres E.; Gómez-Montoya J.P.; Rojas-Rimbaldo J.M.","Cochachin-Maguiña, María I. (60150834000); Lopez-Santacruz, José A. (60150923500); Coaquira-Torres, Edgar (59326196900); Gómez-Montoya, Juan P. (55951699400); Rojas-Rimbaldo, Jhuliana M. (60151089000)","60150834000; 60150923500; 59326196900; 55951699400; 60151089000","Enhancing Operational Efficiency in the Supply Chain: A Systematic Review on Artificial Intelligence Applications; [Mejora de la eficiencia operativa en la cadena de suministro: una revisión sistemática sobre las aplicaciones de la inteligencia artificial]","2025","Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology","","2025","","","","0","10.18687/LACCEI2025.1.1.1410","https://www.scopus.com/pages/publications/105019316796?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105019316796"
"Marino S.M.P.","Marino, Sam M. P. (58793347000)","58793347000","Dynamic Warehousing: An AI Approach","2025","Proceedings of the International Conference on Electronic Business (ICEB)","25","","","122","140","0","","https://www.scopus.com/pages/publications/105021216931?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105021216931"
"Vaddy R.K.","Vaddy, Rama Krishna (56403187800)","56403187800","AI-Powered Transformation: Revolutionizing Retail and CPG Supply Chains with Generative AI for Sustainability and Efficiency","2025","Cutting-Edge Solutions for Advancing Sustainable Development: Exploring Technological Horizons for Sustainability - Part 1","","","","129","148","0","10.2174/9789815305548125010009","https://www.scopus.com/pages/publications/105003617097?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105003617097"
"Alzoubi H.M.; Elbadawi M.A.; Hamadneh S.; Marouf T.M.N.; Abidi N.; Al Sheyab S.N.; Kanaan O.; Al-Ramadan A.M.","Alzoubi, Haitham M. (57195353015); Elbadawi, Mohamed Ahmed (59000675600); Hamadneh, Samer (57281077600); Marouf, Thayer Mhd Nadim (59228186900); Abidi, Naseem (56736072900); Al Sheyab, Sufian Nathmi (60130371500); Kanaan, Omar (58120091100); Al-Ramadan, Ammar Mohammad (58030302600)","57195353015; 59000675600; 57281077600; 59228186900; 56736072900; 60130371500; 58120091100; 58030302600","Optimizing Logistics in Supply Chains Using AI","2025","2025 International Conference on Business Intelligence for Technology Innovation, ICBITI 2025","","","","","","0","10.1109/ICBITI65527.2025.11500831","https://www.scopus.com/pages/publications/105040547988?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105040547988"
"Dutta P.K.; Bhattacharya P.; Verma J.P.; Chopra A.; Kundu N.K.; Aurangzeb K.","Dutta, Pushan Kumar (7202355384); Bhattacharya, Pronaya (57200306370); Verma, Jai Prakash (56600071500); Chopra, Ashok (60144999500); Kundu, Neel Kanth (57218097800); Aurangzeb, Khursheed (57194517674)","7202355384; 57200306370; 56600071500; 60144999500; 57218097800; 57194517674","Quantum Computing and Artificial Intelligence in Logistics and Supply Chain Management","2025","Quantum Computing and Artificial Intelligence in Logistics and Supply Chain Management","","","","1","458","1","10.1201/9781003498292","https://www.scopus.com/pages/publications/105018986133?origin=resultslist","Book","Final","","Scopus","2-s2.0-105018986133"
"Kondratenko I.; Sulimin V.; Shvedov V.","Kondratenko, Ilya (57205183871); Sulimin, Vladimir (57211159839); Shvedov, Vladislav (57211157742)","57205183871; 57211159839; 57211157742","Research of the use of digital technologies in the logistics of the poultry subcomplex","2023","BIO Web of Conferences","67","","02030","","","0","10.1051/bioconf/20236702030","https://www.scopus.com/pages/publications/85179152297?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85179152297"
"Kodaganur P.S.; Nimbagal S.; Nadiger S.","Kodaganur, Pushparaj S. (60641481800); Nimbagal, Suvarna (57915770200); Nadiger, Smita (58736055600)","60641481800; 57915770200; 58736055600","The Impact of Artificial Intelligence on the Productivity and Sustainability of SMEs: A Case Study of India","2026","Palgrave Studies in Democracy, Innovation and Entrepreneurship for Growth","Part F1917","","","23","40","0","10.1007/978-3-032-09791-0_2","https://www.scopus.com/pages/publications/105039518006?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039518006"
"Akter S.S.; Khan M.O.; Ullah K.; Mozumder M.A.I.; Choi Y.; Kim H.-C.","Akter, Shifat Shima (59730582100); Khan, Mohammad Omair (59730799400); Ullah, Kiramat (59495716400); Mozumder, Md Ariful Islam (57559642200); Choi, Yongsun (7404776163); Kim, Hee-Cheol (55739535700)","59730582100; 59730799400; 59495716400; 57559642200; 7404776163; 55739535700","Integration of advanced Artificial Intelligence in Supply Chain Management, its Challenges and Opportunities","2025","International Conference on Advanced Communication Technology, ICACT","","","","426","430","3","10.23919/ICACT63878.2025.10936759","https://www.scopus.com/pages/publications/105002274288?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105002274288"
"Simchi-Levi D.; Wu M.X.","Simchi-Levi, David (7004509983); Wu, Michelle Xiao (57222721674)","7004509983; 57222721674","Powering retailers’ digitization through analytics and automation","2018","International Journal of Production Research","56","1-2","","809","816","53","10.1080/00207543.2017.1404161","https://www.scopus.com/pages/publications/85035087514?origin=resultslist","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85035087514"
"Ali M.K.M.; Rabiu S.; Ismail M.T.","Ali, Majid Khan Majahar (57190937034); Rabiu, Sani (58678733400); Ismail, Mohd Tahir (21742355400)","57190937034; 58678733400; 21742355400","Analytical Inventory Management and Optimization: Theories, Methods and Applications","2025","Analytical Inventory Management and Optimization: Theories, Methods and Applications","","","","1","484","0","10.1201/9781003534860","https://www.scopus.com/pages/publications/105008366933?origin=resultslist","Book","Final","","Scopus","2-s2.0-105008366933"
"Gherabi Y.; Benjouid Z.; Benmamoun Z.","Gherabi, Youness (58982338100); Benjouid, Zakaria (57205582252); Benmamoun, Zoubida (57194163372)","58982338100; 57205582252; 57194163372","AI-Driven Sales Forecasting: A Case Study in Supply Chain Optimization","2025","Lecture Notes in Networks and Systems","1486 LNNS","","","175","181","0","10.1007/978-3-031-95330-9_19","https://www.scopus.com/pages/publications/105011290839?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105011290839"
"Barman A.","Barman, Abhijit (57219484639)","57219484639","Sustainability, Supply Chain Management, and Machine Intelligence: Overcoming Challenges and Shaping the Future","2025","Procedia Computer Science","258","","","993","1002","4","10.1016/j.procs.2025.04.336","https://www.scopus.com/pages/publications/105007146701?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007146701"
"Delgado F.; Garrido S.; Bezerra B.S.","Delgado, Fernanda (57822221000); Garrido, Susana (25959868500); Bezerra, Barbara Stolte (55218519100)","57822221000; 25959868500; 55218519100","Barriers to Visibility in Supply Chains: Challenges and Opportunities of Artificial Intelligence Driven by Industry 4.0 Technologies","2025","Sustainability (Switzerland)","17","7","2998","","","10","10.3390/su17072998","https://www.scopus.com/pages/publications/105002314907?origin=resultslist","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105002314907"
"Dolgui A.; Ivanov D.","Dolgui, Alexandre (57201190890); Ivanov, Dmitry (56350235000)","57201190890; 56350235000","Internet of behaviors: conceptual model, practical and theoretical implications for supply chain and operations management","2025","International Journal of Production Research","63","1","","1","8","39","10.1080/00207543.2024.2372008","https://www.scopus.com/pages/publications/85198132271?origin=resultslist","Article","Final","","Scopus","2-s2.0-85198132271"
"Fatorachian H.; Shokri A.","Fatorachian, Hajar (57200375677); Shokri, Alireza (55979295100)","57200375677; 55979295100","Waste generation patterns and mitigation strategies in cold chains","2025","Journal of Environmental Management","380","","125108","","","5","10.1016/j.jenvman.2025.125108","https://www.scopus.com/pages/publications/105000621274?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105000621274"
"Gerald Manju J.; Chitra P.; Selva Jeba G.","Gerald Manju, J. (58867901700); Chitra, P. (59352328200); Selva Jeba, G. (57701244500)","58867901700; 59352328200; 57701244500","A Hybrid Generative AI Demand Forecasting Framework for Mitigating the Bullwhip Effect in Supply Chain Operations","2026","Lecture Notes in Networks and Systems","1601 LNNS","","","460","472","0","10.1007/978-3-032-03527-1_36","https://www.scopus.com/pages/publications/105021216105?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105021216105"
"Nawal E.-S.; Hicham F.; Najat M.","Nawal, Es-Safy (60162803100); Hicham, Fouraiji (60162767000); Najat, Messaoudi (60162732200)","60162803100; 60162767000; 60162732200","Optimizing Supply Chain Performance with AI: Case Studies and Trends (2018–2024)","2026","Lecture Notes in Networks and Systems","1584 LNNS","","","522","528","0","10.1007/978-3-032-01536-5_79","https://www.scopus.com/pages/publications/105020265067?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105020265067"
"Azari M.; Arif J.; Moustabchir H.; Jawab F.","Azari, Meriem (57988075700); Arif, Jabir (44860956700); Moustabchir, Hassane (23019496400); Jawab, Fouad (44861244000)","57988075700; 44860956700; 23019496400; 44861244000","Navigating Challenges and Leveraging Future Trends in AI and Machine Learning for Supply Chains","2024","AI and Machine Learning Applications in Supply Chains and Marketing","","","","257","282","7","10.4018/979-8-3693-6760-5.ch0011","https://www.scopus.com/pages/publications/105008858541?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105008858541"
